2026/04/09 17:20:54 [error] 11768#5068: *76 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/clazzs/list HTTP/1.1", upstream: "http://127.0.0.1:8080/clazzs/list", host: "localhost:90", referrer: "http://localhost:90/stu"
2026/04/09 17:20:54 [error] 11768#5068: *75 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/students?clazzId=&degree=&name=&page=1&pageSize=10 HTTP/1.1", upstream: "http://[::1]:8080/students?clazzId=&degree=&name=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/stu"
2026/04/09 17:20:54 [error] 11768#5068: *75 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/students?clazzId=&degree=&name=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/students?clazzId=&degree=&name=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/stu"
2026/04/09 17:20:54 [error] 11768#5068: *75 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/students?clazzId=&degree=&name=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/students?clazzId=&degree=&name=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/stu"
2026/04/09 17:20:54 [error] 11768#5068: *79 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/clazzs?begin=&end=&name=&page=1&pageSize=10 HTTP/1.1", upstream: "http://[::1]:8080/clazzs?begin=&end=&name=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/clazz"
2026/04/09 17:20:54 [error] 11768#5068: *79 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/clazzs?begin=&end=&name=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/clazzs?begin=&end=&name=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/clazz"
2026/04/09 17:20:54 [error] 11768#5068: *79 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/clazzs?begin=&end=&name=&page=1&pageSize=10 HTTP/1.1", upstream: "http://localhost/clazzs?begin=&end=&name=&page=1&pageSize=10", host: "localhost:90", referrer: "http://localhost:90/clazz"
2026/04/09 17:20:54 [error] 11768#5068: *81 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/emps/list HTTP/1.1", upstream: "http://127.0.0.1:8080/emps/list", host: "localhost:90", referrer: "http://localhost:90/clazz"
2026/04/09 17:20:54 [error] 11768#5068: *81 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/emps/list HTTP/1.1", upstream: "http://localhost/emps/list", host: "localhost:90", referrer: "http://localhost:90/clazz"
2026/04/09 17:20:54 [error] 11768#5068: *81 CreateFile() "D:\nginx-1.22.0-web/html/50x.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /api/emps/list HTTP/1.1", upstream: "http://localhost/emps/list", host: "localhost:90", referrer: "http://localhost:90/clazz"
